YEAR,GAMEID,ROUND,AWAY,HOME,TV,REFEREE,UMPIRE,DOWNJUDGE,LINEJUDGE,FIELDJUDGE,SIDEJUDGE,BACKJUDGE,ALT-REFEREE,ALT-UMPIRE,ALT-DOWNJUDGE,ALT-LINEJUDGE,ALT-FIELDJUDGE,ALT-SIDEJUDGE,ALT-BACKJUDGE
2021,2021_01_09_01,WILDCARD,IND,BUF,CBS,122-ALLEN,121-KING,28-HITTNER,47-PODRAZA,43-BROWN,36-JEFFRIES,67-JOSSELYN,83-HOCHULI,76-ECK,113-SHORT,,,72-BANKS,46-PAGANELLI
,2021_01_09_02,WILDCARD,LAR,SEA,FOX,35-HUSSEY,115-MICHALEK,106-HOLT,48-MELLO,22-ZIMMER,26-WALKER,39-MARTINEZ,4-WROLSTAD,77-KILLENS,,24-OLIVER,,21-LAMBERTH,61-FERGUSON
,2021_01_09_03,WILDCARD,TB,WAS,NBC,1-NOVAK,102-STRITESKY,74-BOWERS,2-LONGSON,104-SHAW,125-HILL,111-MILES,52-VINOVICH,54-WOODS,13-TURNER,,118-MESLOW,,96-EDWARDS
,2021_01_10_01,WILDCARD,BAL,TEN,ABC,23-BOGER,124-PAGANELLI,40-BOLINGER,65-COLEMAN-IV,116-WEATHERFORD,7-WASHINGTON,88-FREEMAN,99-CORRENTE,20-ANDERSON,,45-SEEMAN,5-QUIRK,,30-PRUKOP
,2021_01_10_02,WILDCARD,CHI,NO,CBS,55-KEMP,64-FERRELL,8-MCKENZIE,98-BRADLEY,42-JONES,107-HAWKSHAW,93-HELVERSON,29-HILL,131-PELLIS,,101-JOHNSON,,86-BUCHANAN,82-RUSSELL
,2021_01_10_03,WILDCARD,CLE,PIT,NBC,14-SMITH,92-NEALE,79-PAYNE,75-STEWART,109-PRIOLEAU,58-WILLARD,119-WILSON,34-BLAKEMAN,49-HALL,37-SUTTER,,60-CAVALETTO,,12-STEED
,2021_01_16_01,DIVISIONAL,LAR,GB,FOX,62-TORBERT,131-PELLIS,37-SUTTER,59-BAYNES,95-COLEMAN,120-MONROE,38-YETTE,1-NOVAK,92-NEALE,113-SHORT,,43-BROWN,,67-JOSSELYN
,2021_01_16_02,DIVISIONAL,BAL,BUF,NBC,51-CHEFFERS,11-BRYAN,134-CAMP,24-OLIVER,25-DICKSON,117-JENKINS,78-MEYER,55-KEMP,121-KING,106-HOLT,,3-EDWARDS,,39-MARTINEZ
,2021_01_17_01,DIVISIONAL,CLE,KC,CBS,19-MARTIN,81-ELLISON,6-PHILLIPS,84-STEINKERCHNER,118-MESLOW,56-BAYNES,12-STEED,35-HUSSEY,64-FERRELL,9-PERLMAN,,,41-CHEEK,111-MILES
,2021_01_17_02,DIVISIONAL,TB,NO,FOX,83-HOCHULI,77-KILLENS,53-THOMAS,68-STEPHAN,50-SANTI,103-HALL,105-PAGANELLI,23-BOGER,102-STRITESKY,,75-STEWART,15-PATTERSON,,119-WILSON
